[[0.39173513650894165, 0.2154618501663208], [0.20092463493347168, 0.297197163105011], [0.9411484003067017, 0.37079882621765137], [0.5435009598731995, 0.12866711616516113], [0.1000261902809143, 0.38704943656921387]]
[[0.3908042907714844, 0.21640218794345856], [0.19943802058696747, 0.2984514534473419], [0.9387093782424927, 0.37010952830314636], [0.5460407733917236, 0.12332240492105484], [0.0970950573682785, 0.3928355872631073]]
[[0.38895249366760254, 0.21824967861175537], [0.196553573012352, 0.30090799927711487], [0.9338998198509216, 0.36875244975090027], [0.5508689284324646, 0.11286717653274536], [0.09144629538059235, 0.40422338247299194]]
[[0.38627421855926514, 0.2209235429763794], [0.19246219098567963, 0.3044329881668091], [0.9269009828567505, 0.3668007254600525], [0.5574777722358704, 0.09784634411334991], [0.08351603150367737, 0.4207165241241455]]
[[0.3828549087047577, 0.22433553636074066], [0.18733468651771545, 0.3088674247264862], [0.9178688526153564, 0.36429938673973083], [0.5654332637786865, 0.07880964875221252], [0.07365884631872177, 0.44180920720100403]]
[[0.3787987530231476, 0.22838684916496277], [0.18140165507793427, 0.3140081763267517], [0.9070608019828796, 0.3613465130329132], [0.5742582082748413, 0.05647829920053482], [0.06233910098671913, 0.46675756573677063]]
[[0.3741622865200043, 0.23298189043998718], [0.17475461959838867, 0.31974899768829346], [0.8945236802101135, 0.35797765851020813], [0.5836800336837769, 0.031223999336361885], [0.04979325085878372, 0.49524980783462524]]
[[0.3689565062522888, 0.23807087540626526], [0.1673443764448166, 0.3260439336299896], [0.8801366090774536, 0.3541416525840759], [0.5936299562454224, 0.0031475499272346497], [0.0360589325428009, 0.5272055268287659]]
[[0.36317628622055054, 0.24362285435199738], [0.15909291803836823, 0.3328503668308258], [0.8639354109764099, 0.3498104512691498], [0.6041057109832764, -0.02748183161020279], [0.02130979672074318, 0.5621585845947266]]
[[0.3568107783794403, 0.24961096048355103], [0.14994755387306213, 0.34010061621665955], [0.8463606238365173, 0.34504052996635437], [0.6151323914527893, -0.0600084625184536], [0.005991574376821518, 0.5990117192268372]]
[[0.34981879591941833, 0.2560007572174072], [0.139914408326149, 0.3476957380771637], [0.8280649185180664, 0.33986029028892517], [0.6267865300178528, -0.09365203976631165], [-0.009477226994931698, 0.636597216129303]]
[[0.3421669900417328, 0.2627749741077423], [0.1289929896593094, 0.3555741012096405], [0.8096424341201782, 0.334270179271698], [0.6391862630844116, -0.1278482973575592], [-0.024819262325763702, 0.6740015745162964]]
[[0.33384114503860474, 0.2698719799518585], [0.1171770691871643, 0.3636941611766815], [0.7914211750030518, 0.3282822370529175], [0.652397096157074, -0.16228008270263672], [-0.03984207287430763, 0.7108193635940552]]
[[0.32486268877983093, 0.2772466540336609], [0.10447515547275543, 0.3720020353794098], [0.7734397649765015, 0.3218958377838135], [0.6664018630981445, -0.19688327610492706], [-0.05450042337179184, 0.7470577955245972]]
[[0.31525537371635437, 0.284859299659729], [0.09090576320886612, 0.3804467022418976], [0.7557241320610046, 0.3151187300682068], [0.6811707019805908, -0.23160605132579803], [-0.06875485926866531, 0.7827440500259399]]
[[0.30506542325019836, 0.29267385601997375], [0.0765213817358017, 0.38897520303726196], [0.7383914589881897, 0.30800753831863403], [0.6966215968132019, -0.266345351934433], [-0.0825486034154892, 0.8178521990776062]]
[[0.2944072484970093, 0.3006594777107239], [0.06152486801147461, 0.39753565192222595], [0.7219578623771667, 0.3008256256580353], [0.7125250101089478, -0.3007766604423523], [-0.09572361409664154, 0.8521081209182739]]
[[0.28343716263771057, 0.30879929661750793], [0.04625232517719269, 0.40610453486442566], [0.7072742581367493, 0.2940683662891388], [0.7285583019256592, -0.33443281054496765], [-0.10802385210990906, 0.8850640654563904]]
[[0.27226725220680237, 0.3170400857925415], [0.03094424307346344, 0.4146694839000702], [0.6949270963668823, 0.2881007194519043], [0.7445544600486755, -0.36698466539382935], [-0.11927064508199692, 0.9164993762969971]]
[[0.26101920008659363, 0.3253552317619324], [0.015763793140649796, 0.4232221841812134], [0.6852530241012573, 0.2831203043460846], [0.7604763507843018, -0.39826905727386475], [-0.1294066607952118, 0.9463086128234863]]
[[0.24974380433559418, 0.33373454213142395], [0.0007605487480759621, 0.43175360560417175], [0.6783141493797302, 0.27917593717575073], [0.7763462662696838, -0.42828962206840515], [-0.13845399022102356, 0.9745418429374695]]
[[0.23846830427646637, 0.34216246008872986], [-0.01402951404452324, 0.4402630627155304], [0.6741394400596619, 0.2763036787509918], [0.7921842336654663, -0.45705291628837585], [-0.1464272141456604, 1.0012675523757935]]
[[0.22720076143741608, 0.350632905960083], [-0.028605159372091293, 0.4487485885620117], [0.6726605892181396, 0.2744840681552887], [0.8080212473869324, -0.4846155643463135], [-0.15336667001247406, 1.0265847444534302]]
[[0.21593458950519562, 0.3591448962688446], [-0.0429849848151207, 0.4572077989578247], [0.6737682223320007, 0.273672491312027], [0.823884129524231, -0.511052668094635], [-0.15932044386863708, 1.050598382949829]]
[[0.20466496050357819, 0.36769741773605347], [-0.057184524834156036, 0.46563801169395447], [0.6773648262023926, 0.2738271653652191], [0.8397946357727051, -0.5364264845848083], [-0.16432897746562958, 1.0733941793441772]]
[[0.19338862597942352, 0.3762894868850708], [-0.07121678441762924, 0.47403639554977417], [0.6833640336990356, 0.2749091684818268], [0.8557707071304321, -0.5607884526252747], [-0.16842606663703918, 1.0950416326522827]]
[[0.18210363388061523, 0.3849201500415802], [-0.0850926861166954, 0.482400119304657], [0.6916900277137756, 0.2768823206424713], [0.8718273639678955, -0.5841808319091797], [-0.17163974046707153, 1.1155961751937866]]
[[0.17080917954444885, 0.3935885429382324], [-0.09882143139839172, 0.49072641134262085], [0.7022768259048462, 0.2797129452228546], [0.8879774212837219, -0.6066380143165588], [-0.17399297654628754, 1.1351011991500854]]
[[0.15950541198253632, 0.40229395031929016], [-0.11241080611944199, 0.4990125596523285], [0.7150672078132629, 0.28336963057518005], [0.9042320251464844, -0.6281876564025879], [-0.1755044311285019, 1.1535896062850952]]
[[0.14819331467151642, 0.4110357165336609], [-0.12586739659309387, 0.5072559714317322], [0.7300121188163757, 0.28782299160957336], [0.9206010699272156, -0.6488515138626099], [-0.17618897557258606, 1.171085238456726]]
[[0.13687455654144287, 0.41981327533721924], [-0.13919681310653687, 0.5154541730880737], [0.7470697164535522, 0.29304537177085876], [0.9370933771133423, -0.6686463356018066], [-0.17605826258659363, 1.1876035928726196]]
[[0.12555138766765594, 0.428626149892807], [-0.1524038314819336, 0.5236049294471741], [0.7662045955657959, 0.29901060461997986], [0.953717052936554, -0.6875845193862915], [-0.17512120306491852, 1.203153133392334]]
[[0.1142265647649765, 0.43747392296791077], [-0.1654924899339676, 0.5317060351371765], [0.7873870730400085, 0.30569371581077576], [0.9704796075820923, -0.7056745290756226], [-0.1733843982219696, 1.2177356481552124]]
[[0.10290326178073883, 0.44635623693466187], [-0.17846623063087463, 0.5397554039955139], [0.810592532157898, 0.31307074427604675], [0.9873879551887512, -0.7229213714599609], [-0.17085255682468414, 1.2313470840454102]]
[[0.09158501029014587, 0.45527276396751404], [-0.19132795929908752, 0.5477511882781982], [0.83580082654953, 0.32111844420433044], [1.0044485330581665, -0.7393271327018738], [-0.16752880811691284, 1.2439780235290527]]
[[0.08027563244104385, 0.4642232358455658], [-0.20408008992671967, 0.555691659450531], [0.8629955053329468, 0.3298141360282898], [1.02166748046875, -0.754891037940979], [-0.16341513395309448, 1.2556140422821045]]
[[0.06897920370101929, 0.47320738434791565], [-0.21672463417053223, 0.5635752081871033], [0.8921633958816528, 0.3391355872154236], [1.0390504598617554, -0.7696100473403931], [-0.15851259231567383, 1.2662360668182373]]
[[0.05769999325275421, 0.4822249710559845], [-0.22926318645477295, 0.5714003443717957], [0.9232938885688782, 0.34906071424484253], [1.0566027164459229, -0.7834787368774414], [-0.15282168984413147, 1.2758208513259888]]
[[0.04644244536757469, 0.49127572774887085], [-0.24169698357582092, 0.5791656970977783], [0.9563785791397095, 0.3595675826072693], [1.074329137802124, -0.7964898347854614], [-0.14634262025356293, 1.2843412160873413]]
[[0.035211145877838135, 0.5003593564033508], [-0.2540269196033478, 0.5868700742721558], [0.9914106130599976, 0.3706342577934265], [1.0922341346740723, -0.8086342811584473], [-0.13907556235790253, 1.2917661666870117]]
[[0.02401079051196575, 0.509475588798523], [-0.2662535607814789, 0.5945123434066772], [1.0283843278884888, 0.3822387754917145], [1.1103216409683228, -0.8199012875556946], [-0.13102087378501892, 1.298061490058899]]
[[0.01284616719931364, 0.5186240673065186], [-0.2783771753311157, 0.6020914912223816], [1.0672945976257324, 0.3943590223789215], [1.1285948753356934, -0.8302785754203796], [-0.12217937409877777, 1.3031898736953735]]
[[0.0017221393063664436, 0.527804434299469], [-0.29039767384529114, 0.6096066236495972], [1.108136534690857, 0.4069727957248688], [1.1470566987991333, -0.8397525548934937], [-0.11255248636007309, 1.3071112632751465]]
[[-0.009356377646327019, 0.5370162129402161], [-0.30231472849845886, 0.6170569658279419], [1.1509051322937012, 0.4200577735900879], [1.165709137916565, -0.8483084440231323], [-0.10214245319366455, 1.3097831010818481]]
[[-0.020384423434734344, 0.5462588667869568], [-0.3141276240348816, 0.6244417428970337], [1.1955946683883667, 0.4335915148258209], [1.1845533847808838, -0.8559302687644958], [-0.09095247089862823, 1.311160683631897]]
[[-0.03135700896382332, 0.5555317997932434], [-0.3258354365825653, 0.63176029920578], [1.2421984672546387, 0.4475516080856323], [1.2035900354385376, -0.8626011610031128], [-0.07898681610822678, 1.3111975193023682]]
[[-0.042270779609680176, 0.5648349523544312], [-0.3374401926994324, 0.6390120387077332], [1.29069983959198, 0.4619112014770508], [1.2228199243545532, -0.8683080077171326], [-0.06625355780124664, 1.309849739074707]]
[[-0.053134966641664505, 0.5741721391677856], [-0.3489653468132019, 0.646196186542511], [1.3410284519195557, 0.4766172170639038], [1.2422502040863037, -0.8730672001838684], [-0.0527787022292614, 1.3070982694625854]]
[[-0.06395599991083145, 0.5835452079772949], [-0.36042383313179016, 0.6533122658729553], [1.39313805103302, 0.4916278123855591], [1.261884331703186, -0.8768808841705322], [-0.03858332335948944, 1.302912950515747]]
[[-0.07475779950618744, 0.5929601192474365], [-0.37186282873153687, 0.6603608727455139], [1.4468780755996704, 0.50684654712677], [1.2817509174346924, -0.8798072934150696], [-0.02372482419013977, 1.297318696975708]]
[[-0.08555036783218384, 0.6024224758148193], [-0.3833175003528595, 0.6673424243927002], [1.5021263360977173, 0.5222054123878479], [1.3018678426742554, -0.881890594959259], [-0.008250942453742027, 1.2903318405151367]]
[[-0.09636463969945908, 0.6119371652603149], [-0.39484670758247375, 0.6742589473724365], [1.5586860179901123, 0.5376033186912537], [1.3222635984420776, -0.8832138776779175], [0.007768023759126663, 1.2820297479629517]]
