[[0.8197444677352905, 0.5371670126914978], [0.26393234729766846, 0.9595239162445068], [0.7044703364372253, 0.12042731046676636], [0.9785414338111877, 0.8796868920326233], [0.3177545666694641, 0.7810772657394409]]
[[0.815067708492279, 0.5399014353752136], [0.25693508982658386, 0.9624650478363037], [0.6968964338302612, 0.11636362224817276], [0.993023693561554, 0.863569438457489], [0.3009694814682007, 0.7971511483192444]]
[[0.806330144405365, 0.5448911786079407], [0.2440371960401535, 0.9676951766014099], [0.6829041242599487, 0.10854461789131165], [1.0189759731292725, 0.833625853061676], [0.2703336477279663, 0.8270663022994995]]
[[0.7942966222763062, 0.5514293313026428], [0.22630535066127777, 0.9742428064346313], [0.6634418964385986, 0.0971093475818634], [1.05385422706604, 0.7932035326957703], [0.22860226035118103, 0.8672419786453247]]
[[0.7792216539382935, 0.5589120388031006], [0.20389427244663239, 0.9811554551124573], [0.638724684715271, 0.08116533607244492], [1.0973663330078125, 0.7449896931648254], [0.17660479247570038, 0.9142794609069824]]
[[0.7614648342132568, 0.5669330954551697], [0.17734862864017487, 0.9876208305358887], [0.6097155213356018, 0.06008092314004898], [1.1484441757202148, 0.6909754276275635], [0.11552003026008606, 0.9655312895774841]]
[[0.7415454983711243, 0.5753906965255737], [0.1479169726371765, 0.9932641983032227], [0.5800792574882507, 0.034734904766082764], [1.2043943405151367, 0.6342886090278625], [0.04955442249774933, 1.0169655084609985]]
[[0.7204161286354065, 0.5839850902557373], [0.11765307188034058, 0.9986066818237305], [0.5561243891716003, 0.008571954444050789], [1.2621488571166992, 0.5787487626075745], [-0.015523053705692291, 1.0635112524032593]]
[[0.6987862586975098, 0.5925201773643494], [0.08768860250711441, 1.004156231880188], [0.5408650636672974, -0.016179386526346207], [1.3203046321868896, 0.5257673263549805], [-0.07704716920852661, 1.1038260459899902]]
[[0.6772000789642334, 0.6009809970855713], [0.0587896853685379, 1.0101265907287598], [0.5359718799591064, -0.038031309843063354], [1.3781821727752686, 0.4761091470718384], [-0.13345187902450562, 1.1377559900283813]]
[[0.6557570099830627, 0.6093374490737915], [0.03129924088716507, 1.0166722536087036], [0.5421147346496582, -0.05630000680685043], [1.435666799545288, 0.4299581050872803], [-0.18404152989387512, 1.1656837463378906]]
[[0.6343773603439331, 0.6175627112388611], [0.0049180760979652405, 1.0237212181091309], [0.5587122440338135, -0.07130026072263718], [1.4930002689361572, 0.3869355022907257], [-0.2289360761642456, 1.1884028911590576]]
[[0.6130221486091614, 0.6256393194198608], [-0.020565273240208626, 1.0312130451202393], [0.5852096080780029, -0.08329878002405167], [1.5502893924713135, 0.34672990441322327], [-0.2682528495788574, 1.2065398693084717]]
[[0.5917128920555115, 0.6335768699645996], [-0.04525914043188095, 1.0391390323638916], [0.6210451722145081, -0.09240280091762543], [1.607464075088501, 0.3090599775314331], [-0.3021157383918762, 1.2206693887710571]]
[[0.5704280734062195, 0.6414060592651367], [-0.06922242045402527, 1.0474950075149536], [0.665780246257782, -0.0987381637096405], [1.6644337177276611, 0.2736871838569641], [-0.33063122630119324, 1.2311979532241821]]
[[0.549203097820282, 0.649156928062439], [-0.09246014058589935, 1.0563229322433472], [0.718963623046875, -0.1023571565747261], [1.7210227251052856, 0.2403993159532547], [-0.3539361357688904, 1.238478660583496]]
